,Country,Happiness score,GDP per capita,Family,Healthy life expectancy,Freedom to make life choices,Perceptions of corruption,Generosity,Social support,Year,Country Url,Region,Region code,Happiness status,Overall Rank,Rank per region,Capital City,Longitude,Latitude
0,Switzerland,7.587000000000001,1.3965100000000001,1.34951,0.9414299999999999,0.66557,0.41978000000000004,0.29678000000000004,2.5173799999999997,2015,https://upload.wikimedia.org/wikipedia/commons/0/08/Flag_of_Switzerland_%28Pantone%29.svg,EUROPE,150.0,Green,1.0,1.0,Bern,7.44821,46.948
1,Iceland,7.561,1.3023200000000001,1.4022299999999999,0.94784,0.6287699999999999,0.14145,0.4363,2.70201,2015,https://upload.wikimedia.org/wikipedia/commons/c/ce/Flag_of_Iceland.svg,EUROPE,150.0,Green,2.0,2.0,Reykjavik,-21.8952,64.1353
2,Denmark,7.527,1.32548,1.36058,0.87464,0.6493800000000001,0.48357,0.34139,2.4920400000000003,2015,https://upload.wikimedia.org/wikipedia/commons/9/9c/Flag_of_Denmark.svg,EUROPE,150.0,Green,3.0,3.0,Copenhagen,12.5681,55.6763
3,Norway,7.522,1.459,1.33095,0.88521,0.66973,0.36503,0.34699,2.4653099999999997,2015,https://upload.wikimedia.org/wikipedia/commons/d/d9/Flag_of_Norway.svg,EUROPE,150.0,Green,4.0,4.0,Oslo,10.7387,59.9138
4,Canada,7.4270000000000005,1.32629,1.32261,0.9056299999999999,0.63297,0.32957,0.45811,2.4517599999999997,2015,https://upload.wikimedia.org/wikipedia/en/c/cf/Flag_of_Canada.svg,AMERICAS,19.0,Green,5.0,1.0,Ottawa,-75.6919,45.4215
5,Finland,7.406000000000001,1.29025,1.31826,0.8891100000000001,0.64169,0.41372,0.23351,2.61955,2015,https://upload.wikimedia.org/wikipedia/commons/b/bc/Flag_of_Finland.svg,EUROPE,150.0,Green,6.0,5.0,Helsinki,24.9525,60.1608
6,Netherlands,7.377999999999999,1.32944,1.28017,0.89284,0.6157600000000001,0.31814000000000003,0.4761,2.4657,2015,https://upload.wikimedia.org/wikipedia/commons/2/20/Flag_of_the_Netherlands.svg,EUROPE,150.0,Green,7.0,6.0,Amsterdam,4.89095,52.3738
7,Sweden,7.364,1.33171,1.2890700000000002,0.9108700000000001,0.6598,0.43843999999999994,0.36262,2.3711900000000004,2015,https://upload.wikimedia.org/wikipedia/en/4/4c/Flag_of_Sweden.svg,EUROPE,150.0,Green,8.0,7.0,Stockholm,18.0645,59.3327
8,New Zealand,7.2860000000000005,1.2501799999999998,1.3196700000000001,0.9083700000000001,0.6393800000000001,0.42922,0.47501000000000004,2.26425,2015,https://upload.wikimedia.org/wikipedia/commons/3/3e/Flag_of_New_Zealand.svg,OCEANIA,9.0,Green,9.0,1.0,Wellington,174.776,-41.2865
9,Australia,7.284,1.33358,1.30923,0.93156,0.6512399999999999,0.35636999999999996,0.43562,2.26646,2015,https://upload.wikimedia.org/wikipedia/commons/8/88/Flag_of_Australia_%28converted%29.svg,OCEANIA,9.0,Green,10.0,2.0,Canberra,149.129,-35.282
10,Israel,7.278,1.2285700000000002,1.22393,0.9138700000000001,0.41318999999999995,0.07785,0.33171999999999996,3.08854,2015,https://upload.wikimedia.org/wikipedia/commons/d/d4/Flag_of_Israel.svg,ASIA,142.0,Green,11.0,1.0,NaN,35.2035,31.7717
11,Costa Rica,7.226,0.95578,1.2378799999999999,0.8602700000000001,0.63376,0.10583,0.25497,3.17728,2015,https://upload.wikimedia.org/wikipedia/commons/f/f2/Flag_of_Costa_Rica.svg,AMERICAS,19.0,Green,12.0,2.0,San Jose,-84.0089,9.63701
12,Austria,7.2,1.33723,1.29704,0.8904200000000001,0.62433,0.18675999999999998,0.33088,2.5332,2015,https://upload.wikimedia.org/wikipedia/commons/4/41/Flag_of_Austria.svg,EUROPE,150.0,Green,13.0,8.0,Vienna,16.3798,48.2201
13,Mexico,7.187,1.02054,0.91451,0.8144399999999999,0.48181,0.21311999999999998,0.14074,3.6021400000000003,2015,https://upload.wikimedia.org/wikipedia/commons/f/fc/Flag_of_Mexico.svg,AMERICAS,19.0,Green,14.0,3.0,Mexico City,-99.1276,19.427
14,United States,7.119,1.3945100000000001,1.24711,0.86179,0.54604,0.1589,0.40105,2.51011,2015,https://upload.wikimedia.org/wikipedia/en/a/a4/Flag_of_the_United_States.svg,AMERICAS,19.0,Green,15.0,4.0,Washington D.C.,-77.032,38.8895
15,Brazil,6.983,0.98124,1.2328700000000001,0.69702,0.49049,0.17521,0.14574,3.26001,2015,https://upload.wikimedia.org/wikipedia/en/0/05/Flag_of_Brazil.svg,AMERICAS,19.0,Green,16.0,5.0,Brasilia,-47.9292,-15.7801
16,Luxembourg,6.946000000000001,1.5639100000000001,1.21963,0.91894,0.61583,0.37798000000000004,0.28034000000000003,1.9696099999999999,2015,https://upload.wikimedia.org/wikipedia/commons/d/da/Flag_of_Luxembourg.svg,EUROPE,150.0,Green,17.0,9.0,Luxembourg,6.1296,49.61
17,Ireland,6.94,1.33596,1.36948,0.89533,0.6177699999999999,0.28703,0.45901000000000003,1.9757,2015,https://upload.wikimedia.org/wikipedia/commons/4/45/Flag_of_Ireland.svg,EUROPE,150.0,Green,18.0,10.0,Dublin,-6.26749,53.3441
18,Belgium,6.937,1.30782,1.28566,0.8966700000000001,0.5845,0.2254,0.2225,2.4148400000000003,2015,https://upload.wikimedia.org/wikipedia/commons/9/92/Flag_of_Belgium_%28civil%29.svg,EUROPE,150.0,Green,19.0,11.0,Brussels,4.36761,50.8371
19,United Arab Emirates,6.901,1.42727,1.12575,0.80925,0.64157,0.38583,0.26428,2.24743,2015,https://upload.wikimedia.org/wikipedia/commons/c/cb/Flag_of_the_United_Arab_Emirates.svg,ASIA,142.0,Green,20.0,2.0,Abu Dhabi,54.3705,24.4764
20,United Kingdom,6.867000000000001,1.26637,1.28548,0.90943,0.59625,0.32066999999999996,0.51912,1.9699400000000002,2015,https://upload.wikimedia.org/wikipedia/en/a/ae/Flag_of_the_United_Kingdom.svg,EUROPE,150.0,Green,21.0,12.0,London,-0.126236,51.5002
21,Oman,6.853,1.36011,1.08182,0.76276,0.63274,0.32524000000000003,0.21541999999999997,2.4748900000000003,2015,https://upload.wikimedia.org/wikipedia/commons/d/dd/Flag_of_Oman.svg,ASIA,142.0,Green,22.0,3.0,Muscat,58.5874,23.6105
22,Venezuela,6.81,1.04424,1.25596,0.7205199999999999,0.42908,0.11069000000000001,0.058410000000000004,3.1913099999999996,2015,https://upload.wikimedia.org/wikipedia/commons/0/06/Flag_of_Venezuela.svg,AMERICAS,19.0,Green,23.0,6.0,,,
23,Singapore,6.797999999999999,1.52186,1.02,1.02525,0.54252,0.4921,0.31105,1.8850099999999999,2015,https://upload.wikimedia.org/wikipedia/commons/4/48/Flag_of_Singapore.svg,ASIA,142.0,Green,24.0,4.0,Singapore,103.85,1.28941
24,Panama,6.7860000000000005,1.0635299999999999,1.1985,0.79661,0.5421,0.0927,0.24434,2.84848,2015,https://upload.wikimedia.org/wikipedia/commons/a/ab/Flag_of_Panama.svg,AMERICAS,19.0,Green,25.0,7.0,Panama City,-79.5188,8.99427
25,Germany,6.75,1.32792,1.2993700000000001,0.89186,0.6147699999999999,0.21843,0.28214,2.1156900000000003,2015,https://upload.wikimedia.org/wikipedia/en/b/ba/Flag_of_Germany.svg,EUROPE,150.0,Green,26.0,13.0,Berlin,13.4115,52.5235
26,Chile,6.67,1.10715,1.12447,0.85857,0.44132,0.12869,0.33363000000000004,2.67585,2015,https://upload.wikimedia.org/wikipedia/commons/7/78/Flag_of_Chile.svg,AMERICAS,19.0,Green,27.0,8.0,Santiago,-70.6475,-33.475
27,Qatar,6.611000000000001,1.69042,1.0786,0.79733,0.6404,0.52208,0.32573,1.55674,2015,https://upload.wikimedia.org/wikipedia/commons/6/65/Flag_of_Qatar.svg,ASIA,142.0,Green,28.0,5.0,Doha,51.5082,25.2948
28,France,6.575,1.27778,1.2603799999999998,0.9457899999999999,0.55011,0.20646,0.12332,2.21126,2015,https://upload.wikimedia.org/wikipedia/en/c/c3/Flag_of_France.svg,EUROPE,150.0,Green,29.0,14.0,Paris,2.35097,48.8566
29,Argentina,6.574,1.05351,1.24823,0.78723,0.44974,0.08484,0.11450999999999999,2.8360000000000003,2015,https://upload.wikimedia.org/wikipedia/commons/1/1a/Flag_of_Argentina.svg,AMERICAS,19.0,Green,30.0,9.0,Buenos Aires,-58.4173,-34.6118
30,Czech Republic,6.505,1.17898,1.20643,0.84483,0.46363999999999994,0.02652,0.10686,2.67782,2015,https://upload.wikimedia.org/wikipedia/commons/c/cb/Flag_of_the_Czech_Republic.svg,EUROPE,150.0,Green,31.0,15.0,Prague,14.4205,50.0878
31,Uruguay,6.485,1.06166,1.2089,0.8116,0.6036199999999999,0.24558000000000002,0.2324,2.3214200000000003,2015,https://upload.wikimedia.org/wikipedia/commons/f/fe/Flag_of_Uruguay.svg,AMERICAS,19.0,Green,32.0,10.0,Montevideo,-56.0675,-34.8941
32,Colombia,6.477,0.91861,1.2401799999999998,0.69077,0.53466,0.0512,0.18400999999999998,2.85737,2015,https://upload.wikimedia.org/wikipedia/commons/2/21/Flag_of_Colombia.svg,AMERICAS,19.0,Green,33.0,11.0,Bogota,-74.082,4.60987
33,Thailand,6.455,0.9669,1.26504,0.7385,0.5566399999999999,0.031869999999999996,0.5763,2.31945,2015,https://upload.wikimedia.org/wikipedia/commons/a/a9/Flag_of_Thailand.svg,ASIA,142.0,Green,34.0,6.0,Bangkok,100.521,13.7308
